"","title","employ22","employ32","med_wage","entry_educ","onjob_training"
"1","Accountants and auditors",1538.4,1605.8,78000,"Bachelor's degree","None"
"2","Actors",78.1,80.6,NA,"Some college, no degree","Long-term on-the-job training"
"3","Actuaries",30,36.9,113990,"Bachelor's degree","Long-term on-the-job training"
"4","Acupuncturists",26.6,28,72220,"Master's degree","None"
"5","Adhesive bonding machine operators and tenders",11.4,11.2,38780,"High school diploma or equivalent","Moderate-term on-the-job training"
"6","Administrative law judges, adjudicators, and hearing officers",13.2,13.4,94990,"Doctoral or professional degree","Short-term on-the-job training"
"7","Administrative services managers",250.8,264.9,103330,"Bachelor's degree","None"
"8","Adult basic education, adult secondary education, and english as a second language instructors",42.2,36.9,58590,"Bachelor's degree","None"
"9","Advertising and promotions managers",30.9,31.4,127830,"Bachelor's degree","None"
"10","Advertising sales agents",111.4,103.4,58450,"High school diploma or equivalent","Moderate-term on-the-job training"
"11","Aerospace engineering and operations technologists and technicians",10.2,11,74410,"Associate's degree","None"
"12","Aerospace engineers",63.8,67.7,126880,"Bachelor's degree","None"
"13","Agents and business managers of artists, performers, and athletes",19.9,21.5,82530,"Bachelor's degree","None"
"14","Agricultural engineers",1.6,1.7,83260,"Bachelor's degree","None"
"15","Agricultural equipment operators",64,69.5,37780,"No formal educational credential","Moderate-term on-the-job training"
"16","Agricultural inspectors",14.1,14.4,44720,"Bachelor's degree","Moderate-term on-the-job training"
"17","Agricultural sciences teachers, postsecondary",10.1,10.5,85860,"Doctoral or professional degree","None"
"18","Agricultural technicians",17.6,18.4,41760,"Associate's degree","Moderate-term on-the-job training"
"19","Agricultural workers, all other",11.2,11.4,35720,"No formal educational credential","Short-term on-the-job training"
"20","Air traffic controllers",23,23.3,132250,"Associate's degree","Long-term on-the-job training"
"21","Aircraft cargo handling supervisors",8,8.7,53490,"High school diploma or equivalent","None"
"22","Aircraft mechanics and service technicians",140.2,146.2,70010,"Postsecondary nondegree award","None"
"23","Aircraft service attendants",19.9,20.8,37050,"High school diploma or equivalent","Short-term on-the-job training"
"24","Aircraft structure, surfaces, rigging, and systems assemblers",33.9,28.8,58430,"High school diploma or equivalent","Moderate-term on-the-job training"
"25","Airfield operations specialists",15,15.8,49600,"High school diploma or equivalent","Long-term on-the-job training"
"26","Airline pilots, copilots, and flight engineers",91.7,95.2,211790,"Bachelor's degree","Moderate-term on-the-job training"
"27","Ambulance drivers and attendants, except emergency medical technicians",10.1,10.1,30380,"High school diploma or equivalent","Moderate-term on-the-job training"
"28","Amusement and recreation attendants",343.8,358.1,27780,"No formal educational credential","Short-term on-the-job training"
"29","Anesthesiologists",40,41.1,239200,"Doctoral or professional degree","Internship/residency"
"30","Animal breeders",6.5,6.6,45320,"High school diploma or equivalent","Short-term on-the-job training"
"31","Animal caretakers",339,391.5,29530,"High school diploma or equivalent","Short-term on-the-job training"
"32","Animal control workers",11.9,12.4,39320,"High school diploma or equivalent","Moderate-term on-the-job training"
"33","Animal scientists",2.8,2.9,69390,"Bachelor's degree","None"
"34","Animal trainers",54.1,62.8,35620,"High school diploma or equivalent","Moderate-term on-the-job training"
"35","Anthropologists and archeologists",8,8.3,63940,"Master's degree","None"
"36","Anthropology and archeology teachers, postsecondary",6.2,6.4,85000,"Doctoral or professional degree","None"
"37","Arbitrators, mediators, and conciliators",9.1,9.6,64030,"Bachelor's degree","Moderate-term on-the-job training"
"38","Architects, except landscape and naval",123.7,129.7,82840,"Bachelor's degree","Internship/residency"
"39","Architectural and civil drafters",107.1,107.7,59820,"Associate's degree","None"
"40","Architectural and engineering managers",201.5,209.7,159920,"Bachelor's degree","None"
"41","Architecture teachers, postsecondary",8.2,8.5,93220,"Doctoral or professional degree","None"
"42","Archivists",9.4,10.2,58640,"Master's degree","None"
"43","Area, ethnic, and cultural studies teachers, postsecondary",11.9,12.4,80910,"Doctoral or professional degree","None"
"44","Art directors",135.1,143.2,105180,"Bachelor's degree","None"
"45","Art, drama, and music teachers, postsecondary",123.9,127.8,77280,"Master's degree","None"
"46","Artists and related workers, all other",14,14.5,69760,"No formal educational credential","Long-term on-the-job training"
"47","Astronomers",2.4,2.6,128330,"Doctoral or professional degree","None"
"48","Athletes and sports competitors",14,15.2,94270,"No formal educational credential","Long-term on-the-job training"
"49","Athletic trainers",33.8,38.5,53840,"Master's degree","None"
"50","Atmospheric and space scientists",10.5,11,83780,"Bachelor's degree","None"
"51","Atmospheric, earth, marine, and space sciences teachers, postsecondary",13.6,14.1,97770,"Doctoral or professional degree","None"
"52","Audio and video technicians",74.8,78.3,50660,"Postsecondary nondegree award","Short-term on-the-job training"
"53","Audiologists",14.4,15.9,82680,"Doctoral or professional degree","None"
"54","Audiovisual equipment installers and repairers",26.9,25.2,44960,"Postsecondary nondegree award","Short-term on-the-job training"
"55","Automotive and watercraft service attendants",100.7,100.9,30850,"No formal educational credential","Short-term on-the-job training"
"56","Automotive body and related repairers",153.3,155.2,47670,"High school diploma or equivalent","Long-term on-the-job training"
"57","Automotive glass installers and repairers",21.9,22.2,43700,"High school diploma or equivalent","Moderate-term on-the-job training"
"58","Automotive service technicians and mechanics",782.2,795,46970,"Postsecondary nondegree award","Short-term on-the-job training"
"59","Avionics technicians",20.8,21.7,75450,"Associate's degree","None"
"60","Baggage porters and bellhops",27.7,29.4,31510,"High school diploma or equivalent","Short-term on-the-job training"
"61","Bailiffs",17.1,16.8,49100,"High school diploma or equivalent","Moderate-term on-the-job training"
"62","Bakers",218.8,229.6,32780,"No formal educational credential","Moderate-term on-the-job training"
"63","Barbers",63.1,67.6,34990,"Postsecondary nondegree award","None"
"64","Bartenders",641.3,662.6,29380,"No formal educational credential","Short-term on-the-job training"
"65","Bicycle repairers",14.4,14.9,36250,"High school diploma or equivalent","Moderate-term on-the-job training"
"66","Bill and account collectors",209.7,189.6,39470,"High school diploma or equivalent","Moderate-term on-the-job training"
"67","Billing and posting clerks",456.3,456.4,42810,"High school diploma or equivalent","Moderate-term on-the-job training"
"68","Biochemists and biophysicists",34.5,36.8,103810,"Doctoral or professional degree","None"
"69","Bioengineers and biomedical engineers",19.7,20.7,99550,"Bachelor's degree","None"
"70","Biological science teachers, postsecondary",62.4,67.7,81650,"Doctoral or professional degree","None"
"71","Biological scientists, all other",60.4,62.7,87300,"Bachelor's degree","None"
"72","Biological technicians",81.4,85.3,49650,"Bachelor's degree","None"
"73","Boilermakers",13.7,13.1,66920,"High school diploma or equivalent","Apprenticeship"
"74","Bookkeeping, accounting, and auditing clerks",1735.8,1627.5,45860,"Some college, no degree","Moderate-term on-the-job training"
"75","Brickmasons and blockmasons",73,73.3,59000,"High school diploma or equivalent","Apprenticeship"
"76","Bridge and lock tenders",3.8,3.8,47280,"High school diploma or equivalent","Short-term on-the-job training"
"77","Broadcast announcers and radio disc jockeys",28,24.8,41750,"Bachelor's degree","None"
"78","Broadcast technicians",39.9,39.4,60700,"Associate's degree","Short-term on-the-job training"
"79","Brokerage clerks",43.7,39.8,54680,"High school diploma or equivalent","Moderate-term on-the-job training"
"80","Budget analysts",51.6,53.3,82260,"Bachelor's degree","None"
"81","Building cleaning workers, all other",17.1,17.5,37200,"No formal educational credential","Short-term on-the-job training"
"82","Bus and truck mechanics and diesel engine specialists",291.6,294.1,54360,"High school diploma or equivalent","Long-term on-the-job training"
"83","Bus drivers, school",358.8,363.7,41270,"High school diploma or equivalent","Short-term on-the-job training"
"84","Bus drivers, transit and intercity",156.4,164.8,50890,"High school diploma or equivalent","Moderate-term on-the-job training"
"85","Business operations specialists, all other",1174.8,1223.6,75990,"Bachelor's degree","None"
"86","Business teachers, postsecondary",99.9,106.9,88790,"Doctoral or professional degree","None"
"87","Butchers and meat cutters",131.6,130.1,36930,"No formal educational credential","Long-term on-the-job training"
"88","Buyers and purchasing agents",494.4,456.3,67620,"Bachelor's degree","Moderate-term on-the-job training"
"89","Cabinetmakers and bench carpenters",105.7,103.7,38810,"High school diploma or equivalent","Moderate-term on-the-job training"
"90","Calibration technologists and technicians",11.3,11.8,62050,"Associate's degree","None"
"91","Camera and photographic equipment repairers",2.4,2.4,44060,"High school diploma or equivalent","Long-term on-the-job training"
"92","Camera operators, television, video, and film",36.5,37.5,58230,"Bachelor's degree","None"
"93","Captains, mates, and pilots of water vessels",39.6,40.3,95210,"Postsecondary nondegree award","None"
"94","Cardiologists",18,18.6,239200,"Doctoral or professional degree","Internship/residency"
"95","Cardiovascular technologists and technicians",58.9,61.1,63020,"Associate's degree","None"
"96","Career/technical education teachers, middle school",11.1,11.1,62630,"Bachelor's degree","None"
"97","Career/technical education teachers, postsecondary",113,112.5,59840,"Bachelor's degree","None"
"98","Career/technical education teachers, secondary school",88,87.7,62500,"Bachelor's degree","None"
"99","Cargo and freight agents",95.9,105.2,46860,"High school diploma or equivalent","Short-term on-the-job training"
"100","Carpenters",956.3,964.9,51390,"High school diploma or equivalent","Apprenticeship"
"101","Carpet installers",25.1,22.3,45240,"No formal educational credential","Short-term on-the-job training"
"102","Cartographers and photogrammetrists",14,14.7,71890,"Bachelor's degree","None"
"103","Cashiers",3345.8,2997.7,28240,"No formal educational credential","Short-term on-the-job training"
"104","Cement masons and concrete finishers",206.2,197.9,48300,"No formal educational credential","Moderate-term on-the-job training"
"105","Chefs and head cooks",174.4,183.6,56520,"High school diploma or equivalent","None"
"106","Chemical engineers",20.8,22.5,106260,"Bachelor's degree","None"
"107","Chemical equipment operators and tenders",120.2,113.7,49330,"High school diploma or equivalent","Moderate-term on-the-job training"
"108","Chemical plant and system operators",19.3,18.6,82670,"High school diploma or equivalent","Moderate-term on-the-job training"
"109","Chemical technicians",58.8,60.7,50840,"Associate's degree","Moderate-term on-the-job training"
"110","Chemistry teachers, postsecondary",25.9,26.8,80720,"Doctoral or professional degree","None"
"111","Chemists",87.1,92.5,80670,"Bachelor's degree","None"
"112","Chief executives",280,257,189520,"Bachelor's degree","None"
"113","Child, family, and school social workers",355.3,374.3,50820,"Bachelor's degree","None"
"114","Childcare workers",945.9,927.4,28520,"High school diploma or equivalent","Short-term on-the-job training"
"115","Chiropractors",55,59.8,75380,"Doctoral or professional degree","None"
"116","Choreographers",6.9,7.3,50990,"High school diploma or equivalent","Long-term on-the-job training"
"117","Civil engineering technologists and technicians",64.8,65.4,59630,"Associate's degree","None"
"118","Civil engineers",326.3,342.5,89940,"Bachelor's degree","None"
"119","Claims adjusters, examiners, and investigators",329,318.7,72230,"High school diploma or equivalent","Long-term on-the-job training"
"120","Cleaners of vehicles and equipment",401.8,416.8,31000,"No formal educational credential","Short-term on-the-job training"
"121","Cleaning, washing, and metal pickling equipment operators and tenders",14,14.5,37190,"High school diploma or equivalent","Moderate-term on-the-job training"
"122","Clergy",266.7,268.2,55550,"Bachelor's degree","Moderate-term on-the-job training"
"123","Clinical and counseling psychologists",67.5,75.2,90130,"Doctoral or professional degree","Internship/residency"
"124","Clinical laboratory technologists and technicians",342.9,359.7,57380,"Bachelor's degree","None"
"125","Coaches and scouts",275.2,300.5,44890,"Bachelor's degree","None"
"126","Coating, painting, and spraying machine setters, operators, and tenders",172.4,173.4,43960,"High school diploma or equivalent","Moderate-term on-the-job training"
"127","Coil winders, tapers, and finishers",11.1,9.3,43160,"High school diploma or equivalent","Moderate-term on-the-job training"
"128","Coin, vending, and amusement machine servicers and repairers",39.2,38.5,39690,"High school diploma or equivalent","Short-term on-the-job training"
"129","Commercial and industrial designers",32.4,33,75910,"Bachelor's degree","None"
"130","Commercial divers",4.4,4.7,68300,"Postsecondary nondegree award","Moderate-term on-the-job training"
"131","Commercial pilots",50.9,52.9,103910,"Postsecondary nondegree award","Moderate-term on-the-job training"
"132","Communications equipment operators, all other",1.8,1.9,46180,"High school diploma or equivalent","Short-term on-the-job training"
"133","Communications teachers, postsecondary",33.6,34.8,76250,"Doctoral or professional degree","None"
"134","Community and social service specialists, all other",103,109.7,47290,"Bachelor's degree","None"
"135","Community health workers",67.2,76.6,46190,"High school diploma or equivalent","Short-term on-the-job training"
"136","Compensation and benefits managers",17.5,17.8,131280,"Bachelor's degree","None"
"137","Compensation, benefits, and job analysis specialists",98.2,105.1,67780,"Bachelor's degree","None"
"138","Compliance officers",377.5,394.7,71690,"Bachelor's degree","Moderate-term on-the-job training"
"139","Computer and information research scientists",36.5,44.8,136620,"Master's degree","None"
"140","Computer and information systems managers",557.4,643.3,164070,"Bachelor's degree","None"
"141","Computer hardware engineers",78.1,81.6,132360,"Bachelor's degree","None"
"142","Computer network architects",180.2,186.6,126900,"Bachelor's degree","None"
"143","Computer network support specialists",177.9,190.4,68050,"Associate's degree","Moderate-term on-the-job training"
"144","Computer numerically controlled tool operators",181.8,167.2,46760,"High school diploma or equivalent","Moderate-term on-the-job training"
"145","Computer numerically controlled tool programmers",28.5,33,60800,"Postsecondary nondegree award","Moderate-term on-the-job training"
"146","Computer occupations, all other",449.4,493.1,98740,"Bachelor's degree","None"
"147","Computer programmers",147.4,130.8,97800,"Bachelor's degree","None"
"148","Computer science teachers, postsecondary",42,44.3,84760,"Doctoral or professional degree","None"
"149","Computer systems analysts",531.4,582.6,102240,"Bachelor's degree","None"
"150","Computer user support specialists",736.2,772.9,57890,"Some college, no degree","Moderate-term on-the-job training"
"151","Computer, automated teller, and office machine repairers",96.4,86,44910,"Some college, no degree","Short-term on-the-job training"
"152","Concierges",38.7,40.9,35560,"High school diploma or equivalent","Moderate-term on-the-job training"
"153","Conservation scientists",24.7,25.7,64460,"Bachelor's degree","None"
"154","Construction and building inspectors",142.4,140.2,64480,"High school diploma or equivalent","Moderate-term on-the-job training"
"155","Construction laborers",1418.6,1480.5,40750,"No formal educational credential","Short-term on-the-job training"
"156","Construction managers",505.8,528.7,101480,"Bachelor's degree","Moderate-term on-the-job training"
"157","Continuous mining machine operators",13.9,13.5,57360,"No formal educational credential","Moderate-term on-the-job training"
"158","Control and valve installers and repairers, except mechanical door",47.9,47.6,64810,"High school diploma or equivalent","Moderate-term on-the-job training"
"159","Conveyor operators and tenders",30.6,32.4,36890,"No formal educational credential","Short-term on-the-job training"
"160","Cooks, all other",20.2,20.8,33390,"No formal educational credential","Moderate-term on-the-job training"
"161","Cooks, fast food",742,640.4,27640,"No formal educational credential","Short-term on-the-job training"
"162","Cooks, institution and cafeteria",434.5,443.4,32510,"No formal educational credential","Short-term on-the-job training"
"163","Cooks, private household",34,32.1,38570,"Postsecondary nondegree award","None"
"164","Cooks, restaurant",1361.2,1638.9,34110,"No formal educational credential","Moderate-term on-the-job training"
"165","Cooks, short order",137.4,128.9,30360,"No formal educational credential","Short-term on-the-job training"
"166","Cooling and freezing equipment operators and tenders",7.1,7.4,42890,"High school diploma or equivalent","Moderate-term on-the-job training"
"167","Correctional officers and jailers",378.5,349.9,49610,"High school diploma or equivalent","Moderate-term on-the-job training"
"168","Correspondence clerks",6,5.6,38700,"High school diploma or equivalent","Short-term on-the-job training"
"169","Cost estimators",231.4,224.9,71200,"Bachelor's degree","Moderate-term on-the-job training"
"170","Costume attendants",6.1,6.4,48470,"High school diploma or equivalent","Short-term on-the-job training"
"171","Counselors, all other",68.2,80,43390,"Master's degree","None"
"172","Counter and rental clerks",380.8,391.2,35830,"No formal educational credential","Short-term on-the-job training"
"173","Couriers and messengers",217.1,220.6,35280,"High school diploma or equivalent","Short-term on-the-job training"
"174","Court reporters and simultaneous captioners",21.3,21.9,63560,"Postsecondary nondegree award","Short-term on-the-job training"
"175","Court, municipal, and license clerks",170.6,175.7,44140,"High school diploma or equivalent","Long-term on-the-job training"
"176","Craft artists",11.5,12,38150,"No formal educational credential","Long-term on-the-job training"
"177","Crane and tower operators",48.4,48.5,61340,"High school diploma or equivalent","Moderate-term on-the-job training"
"178","Credit analysts",73,69.9,78850,"Bachelor's degree","None"
"179","Credit authorizers, checkers, and clerks",16.4,15.5,44830,"High school diploma or equivalent","Moderate-term on-the-job training"
"180","Credit counselors",32.8,34.6,47320,"Bachelor's degree","Moderate-term on-the-job training"
"181","Crematory operators",3,3.1,40360,"High school diploma or equivalent","Short-term on-the-job training"
"182","Criminal justice and law enforcement teachers, postsecondary",16.5,16.9,64990,"Doctoral or professional degree","None"
"183","Crossing guards and flaggers",94.1,98,33380,"No formal educational credential","Short-term on-the-job training"
"184","Crushing, grinding, and polishing machine setters, operators, and tenders",28.8,27.8,43290,"High school diploma or equivalent","Moderate-term on-the-job training"
"185","Curators",13.9,15.4,60380,"Master's degree","None"
"186","Customer service representatives",2982.9,2820.2,37780,"High school diploma or equivalent","Short-term on-the-job training"
"187","Cutters and trimmers, hand",8.3,5.9,36130,"No formal educational credential","Short-term on-the-job training"
"188","Cutting and slicing machine setters, operators, and tenders",55.8,53.4,39880,"High school diploma or equivalent","Moderate-term on-the-job training"
"189","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",184.8,164.7,39340,"High school diploma or equivalent","Moderate-term on-the-job training"
"190","Dancers",11.5,12.2,NA,"No formal educational credential","Long-term on-the-job training"
"191","Data entry keyers",165.6,122.5,36190,"High school diploma or equivalent","Short-term on-the-job training"
"192","Data scientists",168.9,228.2,103500,"Bachelor's degree","None"
"193","Database administrators",85.2,91.2,99890,"Bachelor's degree","None"
"194","Database architects",64,70.4,134870,"Bachelor's degree","None"
"195","Demonstrators and product promoters",45,46.8,34770,"No formal educational credential","Short-term on-the-job training"
"196","Dental assistants",371,396.7,44820,"Postsecondary nondegree award","None"
"197","Dental hygienists",219.4,235.7,81400,"Associate's degree","None"
"198","Dental laboratory technicians",35.4,33.8,46050,"High school diploma or equivalent","Moderate-term on-the-job training"
"199","Dentists, all other specialists",5.8,6,212740,"Doctoral or professional degree","Internship/residency"
"200","Dentists, general",136.7,142.7,155040,"Doctoral or professional degree","None"
"201","Dermatologists",12.4,12.8,239200,"Doctoral or professional degree","Internship/residency"
"202","Derrick operators, oil and gas",11.9,11.9,51220,"No formal educational credential","Short-term on-the-job training"
"203","Designers, all other",33.5,34.6,65390,"Bachelor's degree","None"
"204","Desktop publishers",8.5,7.4,47910,"Associate's degree","Short-term on-the-job training"
"205","Detectives and criminal investigators",114.4,116.1,86280,"High school diploma or equivalent","Moderate-term on-the-job training"
"206","Diagnostic medical sonographers",83.8,95.8,81350,"Associate's degree","None"
"207","Dietetic technicians",20.2,20.9,33960,"Associate's degree","None"
"208","Dietitians and nutritionists",78.6,83.8,66450,"Bachelor's degree","Internship/residency"
"209","Dining room and cafeteria attendants and bartender helpers",459.2,478.4,29120,"No formal educational credential","Short-term on-the-job training"
